Dataset names,WGAN \citep{smith2020one},TSGAN \citep{smith2020one},TimeVQVAE.mean,TimeVQVAE.std
ACSF1,~,~,72.7,3.2
Adiac,~,~,77.2,2.5
AllGestureWiimoteX,~,~,55.6,1.6
AllGestureWiimoteY,~,~,67.3,1.0
AllGestureWiimoteZ,~,~,62.2,2.3
ArrowHead,61.7,85.7,81.7,4.0
BME,80,82.7,75.3,1.2
Beef,20,60,72.2,8.4
BeetleFly,55,90,91.7,5.8
BirdChicken,90,75,83.3,7.6
CBF,70.9,87.3,96.5,0.4
Car,65,70,83.9,13.6
Chinatown,~,~,97.8,0.7
ChlorineConcentration,56.5,54.5,70.5,0.8
CinCECGTorso,40.6,49.1,75.5,5.5
Coffee,100,100,100.0,0.0
Computers,50.8,65.2,67.1,3.2
CricketX,~,~,70.3,3.0
CricketY,~,~,71.7,2.6
CricketZ,~,~,71.7,1.6
Crop,~,~,67.6,0.7
DiatomSizeReduction,73.5,79.7,92.3,2.3
DistalPhalanxOutlineAgeGroup,73.4,70.5,73.9,5.1
DistalPhalanxOutlineCorrect,68.8,64.9,78.7,1.3
DistalPhalanxTW,~,~,69.3,2.5
DodgerLoopDay,~,~,47.5,4.5
DodgerLoopGame,~,~,69.1,3.0
DodgerLoopWeekend,~,~,97.1,0.7
ECG200,82,82,89.0,1.0
ECG5000,78.2,86,93.3,0.2
ECGFiveDays,92.6,98.8,96.3,2.6
EOGHorizontalSignal,~,~,58.6,1.5
EOGVerticalSignal,~,~,47.3,0.8
Earthquakes,69.1,74.8,73.4,0.7
ElectricDevices,~,~,63.5,0.2
EthanolLevel,24.8,30.2,43.7,6.3
FaceAll,~,~,83.2,0.8
FaceFour,65.2,84.2,92.4,3.3
FacesUCR,~,~,93.2,0.4
FiftyWords,~,~,62.8,0.6
Fish,~,~,92.2,0.3
FordA,80,89.2,87.2,3.7
FordB,62.2,61.4,68.7,8.9
FreezerRegularTrain,50,50.1,93.9,5.2
FreezerSmallTrain,50.7,76,77.4,1.9
Fungi,~,~,98.6,0.3
GestureMidAirD1,~,~,67.2,2.5
GestureMidAirD2,~,~,54.4,0.9
GestureMidAirD3,~,~,26.7,2.4
GesturePebbleZ1,~,~,82.6,2.5
GesturePebbleZ2,~,~,78.5,2.2
GunPoint,100,100,99.1,1.0
GunPointAgeSpan,41.3,44.1,98.5,0.3
GunPointMaleVersusFemale,52.5,52.5,99.9,0.1
GunPointOldVersusYoung,11.4,52.4,100.0,0.0
Ham,68.6,68.6,70.2,2.7
HandOutlines,64.1,65.7,75.7,9.8
Haptics,20.8,31.5,44.7,1.9
Herring,46.9,65.6,59.4,0.0
HouseTwenty,58,42.1,88.0,5.7
InlineSkate,~,~,28.7,4.2
InsectEPGRegularTrain,64.3,64.3,100.0,0.0
InsectEPGSmallTrain,16.9,35.7,100.0,0.0
InsectWingbeatSound,~,~,38.0,1.9
ItalyPowerDemand,~,~,95.3,1.2
LargeKitchenAppliances,59.5,74.9,84.1,1.0
Lightning2,70.5,72.2,74.3,7.4
Lightning7,~,~,69.4,3.2
Mallat,~,~,96.4,0.6
Meat,88.3,46.7,68.9,17.7
MedicalImages,~,~,73.2,2.6
MelbournePedestrian,~,~,94.2,0.3
MiddlePhalanxOutlineAgeGroup,40.9,50,54.8,2.5
MiddlePhalanxOutlineCorrect,73.5,75.3,78.5,3.3
MiddlePhalanxTW,~,~,49.6,3.1
MixedShapesRegularTrain,~,~,79.2,4.3
MixedShapesSmallTrain,55.5,82.6,82.7,6.8
MoteStrain,87.9,87.3,90.1,0.6
NonInvasiveFetalECGThorax1,~,~,72.6,5.8
NonInvasiveFetalECGThorax2,~,~,75.4,7.9
OSULeaf,~,~,83.5,1.1
OliveOil,40,40,31.1,15.4
PLAID,~,~,35.8,2.2
PhalangesOutlinesCorrect,73.9,76.9,79.0,1.0
Phoneme,~,~,28.0,1.0
PickupGestureWiimoteZ,~,~,75.3,3.1
PigAirwayPressure,~,~,39.1,10.9
PigArtPressure,~,~,97.0,1.0
PigCVP,~,~,27.7,6.5
Plane,~,~,100.0,0.0
PowerCons,51.1,52.2,89.4,0.6
ProximalPhalanxOutlineAgeGroup,87.3,85.9,81.5,2.2
ProximalPhalanxOutlineCorrect,84.5,88.3,88.8,4.3
ProximalPhalanxTW,~,~,75.6,2.0
RefrigerationDevices,33.1,42.4,40.4,1.4
Rock,20,36,58.0,6.9
ScreenType,52,56.8,54.3,3.5
SemgHandGenderCh2,65.2,65.2,60.5,9.6
SemgHandMovementCh2,~,~,31.5,2.6
SemgHandSubjectCh2,26,29.3,28.8,3.7
ShakeGestureWiimoteZ,~,~,92.0,3.5
ShapeletSim,50,50,82.8,14.5
ShapesAll,~,~,74.5,2.7
SmallKitchenAppliances,56.5,64,72.4,5.9
SmoothSubspace,66.7,68,96.2,2.7
SonyAIBORobotSurface1,89.5,92.8,98.1,0.6
SonyAIBORobotSurface2,92.2,84.7,97.2,0.6
StarLightCurves,48.7,81.4,95.6,1.1
Strawberry,83.2,93.2,95.7,0.8
SwedishLeaf,~,~,95.0,0.3
Symbols,~,~,96.8,0.7
SyntheticControl,~,~,97.2,0.8
ToeSegmentation1,88.6,93.4,92.0,1.8
ToeSegmentation2,80.8,91.5,86.9,2.3
Trace,97,100,97.7,2.5
TwoLeadECG,99.5,99.8,97.6,1.3
TwoPatterns,76.7,86.8,86.5,0.5
UMD,97.2,97.9,99.3,0.0
UWaveGestureLibraryAll,~,~,59.4,3.3
UWaveGestureLibraryX,~,~,63.7,0.6
UWaveGestureLibraryY,~,~,56.1,1.4
UWaveGestureLibraryZ,~,~,60.8,4.3
Wafer,91.5,79.2,99.4,0.1
Wine,55.6,61.1,61.7,8.4
WordSynonyms,~,~,52.4,1.8
Worms,44.2,59.7,41.1,0.7
WormsTwoClass,71.4,76.6,63.2,2.0
Yoga,53.6,84.5,74.1,1.8
